ZIP,POP,AREA_MILE,STATE,COUNTY,POP_DEN,Type
01603,20505,4.513999999999999,25,27,4542.5343376163055,Urban
01604,35866,6.438,25,27,5570.98477788133,Urban
01605,28696,5.642,25,27,5086.139666784828,Urban
01606,19258,5.928,25,27,3248.650472334683,Urban
01607,8636,3.161,25,27,2732.046820626384,Suburban
01608,3511,0.44799999999999995,25,27,7837.0535714285725,Urban
01609,19982,3.82,25,27,5230.890052356021,Urban
01610,23919,2.126,25,27,11250.705550329258,Urban
01611,2466,3.4419999999999997,25,27,716.443927948867,Rural
01612,4889,15.314,25,27,319.25035914849155,Rural
01701,32061,16.968,25,17,1889.4978783592644,Suburban
01702,38781,8.089,25,17,4794.288539992583,Urban
01718,526,0.047,25,17,11191.489361702128,Urban
01719,5287,10.285,25,17,514.0495867768595,Rural
01720,22638,19.714000000000002,25,17,1148.3209901592775,Suburban
01721,17420,12.335,25,17,1412.2415889744627,Suburban
01730,14018,13.700999999999999,25,17,1023.1369972994673,Suburban
01731,1957,0.792,25,17,2470.959595959596,Suburban
01740,5113,19.944000000000003,25,27,256.3678299237866,Rural
01741,5125,15.274000000000001,25,17,335.53751473091523,Rural
01742,19448,24.436,25,17,795.8749386151579,Rural
01745,482,0.39899999999999997,25,27,1208.0200501253134,Suburban
01746,14324,18.641,25,17,768.4137117107452,Rural
01747,5942,5.175,25,27,1148.2125603864736,Suburban
01748,16257,26.226,25,17,619.8810340883093,Rural
01749,19680,11.523,25,17,1707.8885706847175,Suburban
01752,39545,20.865,25,17,1895.2791756530075,Suburban
01754,10526,5.207999999999999,25,17,2021.1213517665133,Suburban
01756,5963,17.772000000000002,25,27,335.52779653387347,Rural
01757,28600,14.895,25,27,1920.1074185968446,Suburban
01760,35133,14.814,25,17,2371.607938436614,Suburban
01770,4255,15.79,25,17,269.47435085497153,Rural
01772,9486,13.604000000000001,25,27,697.2949132608056,Rural
01773,4793,13.620999999999999,25,17,351.8831216503928,Rural
01775,7027,17.319000000000003,25,17,405.73936139499966,Rural
01776,18594,24.241,25,17,767.0475640443876,Rural
01778,13697,15.209000000000001,25,17,900.5851798277334,Rural
01801,39775,12.651,25,17,3144.0202355545016,Urban
01803,25698,11.699000000000002,25,17,2196.597999829045,Suburban
01810,34963,30.828000000000003,25,9,1134.1313091994289,Suburban
01821,31780,16.566,25,17,1918.387057829289,Suburban
01824,25803,17.75,25,17,1453.6901408450703,Suburban
01826,30855,20.666999999999998,25,17,1492.9597909711135,Suburban
01827,3310,16.451,25,17,201.20357425080542,Rural
01830,25882,13.823,25,9,1872.386602040078,Suburban
01832,23305,11.401,25,9,2044.1189369353565,Suburban
01833,8514,12.857999999999999,25,9,662.1558562762483,Rural
